item_id,question,prediction,ground_truth,metrics
5add1d575542992c1e3a2540,What nationality was Oliver Reed's character in the film Royal Flash?,"{'prediction': {'answer': 'British', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided about the film Royal Flash or Oliver Reed\'s character, I will answer based on general knowledge.\n\n{\n""answer"": ""British"",\n""supporting_facts"": []\n}\n\nNote: Please provide the actual context for a more accurate answer. The above response is based on general knowledge and may not be accurate without the context. \n\nHowever, if I had to provide an answer based on actual knowledge of the film, I would say:\n\n{\n""answer"": ""British"",\n""supporting_facts"": []\n}\n\nPlease note that the character Harry Flashman, played by Malcolm McDowell, not Oliver Reed, is the main character in the film Royal Flash. If Oliver Reed was in the film, I couldn\'t find any information about his character\'s nationality.', 'Since there is no context provided about the film Royal Flash or Oliver Reed\'s character, I will answer based on general knowledge.\n\n{\n""answer"": ""British"",\n""supporting_facts"": []\n}\n\nNote: Please provide the context to give a more accurate answer. The answer ""British"" is based on general knowledge about the actor Oliver Reed, but without context, it\'s difficult to confirm the nationality of his character in the specific film Royal Flash.', 'Since there is no context provided, I will answer based on general knowledge. \n\n```\n{\n  ""answer"": ""British"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided about Oliver Reed\'s character in the film Royal Flash, I will answer based on general knowledge.\n\n{\n""answer"": ""British"",\n""supporting_facts"": []\n}']}",Prussian,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5ac55ea55542993e66e82377,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,"{'prediction': {'answer': 'No context provided', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided, I will inform you that I don\'t have enough information to answer the question. However, I will still provide a response in the required JSON format:\n\n\n{\n  ""answer"": ""Unknown"",\n  ""supporting_facts"": []\n}', 'Since there is no context provided, I will inform you that I don\'t have enough information to answer the question. However, I will still provide the answer in the required JSON format with a message indicating that there\'s no context.\n\n\n```\n{\n  ""answer"": ""No context provided"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided, I will inform you that I don\'t have enough information to answer the question. However, I will still provide a response in the requested format.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided about the Pacific Mozart Ensemble or Der Lindberghflug, I will have to answer based on general knowledge. However, I must emphasize that this information is not present in the given context.\n\n\nThe answer to the question is based on external knowledge that the work ""Der Lindberghflug"" (The Lindbergh Flight) is attributed to German composers Paul Hindemith, Kurt Weill, Darius Milhaud, and Franz Schreker, but most notably to Darius Milhaud, Kurt Weill, and Paul Hindemith, with the most well-known version being a collaborative work between Darius Milhaud, Kurt Weill, and Paul Hindemith, but primarily associated with Kurt Weill and Darius Milhaud, with the libretto written by Bertolt Brecht, but since the music is often attributed to multiple composers the most accurate answer is Kurt Weill, Darius Milhaud and Paul Hindemith. However, the most commonly referenced composer is Kurt Weill.\n\n\nHere is the answer in the required JSON format:\n\n\n```\n{\n  ""answer"": ""Kurt Weill"",\n  ""supporting_facts"": []\n}\n```']}",Kurt Julian Weill,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","{'prediction': {'answer': 'U2', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided about the song ""With or Without You"" or the artists Jai McDowall and U2, I will provide an answer based on general knowledge.\n\n```json\n{\n  ""answer"": ""U2"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided about Jai McDowall or U2 releasing the song ""With or Without You"", I will have to answer based on general knowledge. However, I must emphasize that this information is not present in the given context.\n\n\n{\n""answer"": ""U2"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge. \n\n```json\n{\n  ""answer"": ""U2"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided about Jai McDowall or U2 releasing the song ""With or Without You"", I will have to answer based on general knowledge, but I will not include any external information in the supporting facts as per your request.\n\n\n```json\n{\n  ""answer"": ""U2"",\n  ""supporting_facts"": []\n}\n```']}",U2,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5a7133565542994082a3e65c,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","{'prediction': {'answer': 'Unknown', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided, I will inform you that I don\'t have enough information to answer your question. However, I will still provide a response in the requested format:\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge.\n\n\n{""answer"": ""Oldham County"", ""supporting_facts"": []}', 'Since there is no context provided, I will inform you that I don\'t have enough information to give an accurate answer. However, I will still provide a response in the requested format:\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge.\n\n\n{""answer"": ""Oldham County"", ""supporting_facts"": []}']}",Oldham County,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5ac1a4745542991316484b82,"Para Hills West, South Australia lies within a city with what estimated population?","{'prediction': {'answer': 'Unknown', 'supporting_facts': []}, 'raw_responses': ['There is no context provided to answer the question. However, I will provide a response in the required format with a note that there is insufficient information.\n\n\n```\n{\n  ""answer"": ""Insufficient information"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided about the population of the city where Para Hills West, South Australia lies, I will answer based on the lack of information.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on the information given in the question.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided about the population of the city where Para Hills West, South Australia lies, I will answer based on the lack of information.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}']}","138,535","{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5adc597d55429947ff17392f,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","{'prediction': {'answer': 'Unknown', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided about the narrator of ""Blackadder\'s Christmas Carol"", I will answer based on general knowledge. However, please note that this information might not be accurate without the actual context.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided about the narrator of ""Blackadder\'s Christmas Carol"", I will answer accordingly.\n\n\n{\n""answer"": ""Unknown"",\n""supporting_facts"": []\n}', 'Since there is no context provided about the narrator of ""Blackadder\'s Christmas Carol"" or their birth year, I must conclude that the answer cannot be determined from the given information. Here is the response in the required JSON format:\n\n```\n{\n  ""answer"": ""Unknown"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided, I will answer based on general knowledge. However, please note that the answer might not be accurate without the actual context.\n\n\n{\n  ""answer"": ""Unknown"",\n  ""supporting_facts"": []\n}']}",1959,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5ac55e835542993e66e82375,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","{'prediction': {'answer': 'Insufficient information', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided about the event or the individuals mentioned, I must inform you that I don\'t have enough information to answer your question. However, I will provide a response in the requested format with the answer being ""Unknown"" due to the lack of context.\n\n\n```json\n{\n  ""answer"": ""Unknown"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided about the event or the date, I will answer based on general knowledge, but I must emphasize that this information is not present in the given context.\n\n\n{\n""answer"": ""October 26, 1881"",\n""supporting_facts"": []\n}', 'Since there is no information provided in the context about the event or the date, I will answer based on general knowledge, but I must emphasize that this information is not present in the given context.\n\n\n{\n""answer"": ""October 26, 1881"",\n""supporting_facts"": []\n}', 'There is no context provided to answer the question. Therefore, I will provide a response indicating that there is insufficient information.\n\n\n{\n""answer"": ""Insufficient information"",\n""supporting_facts"": []\n}']}","October 25, 1881","{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5a8d9e0f554299441c6ba015,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,"{'prediction': {'answer': ""I don't have enough information to answer this question."", 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided, I will be unable to answer this question. However, I will provide a response in the requested JSON format.\n\n\n{\n""answer"": ""Unable to determine"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge. \n\n```json\n{\n  ""answer"": ""Dangar Doctor"",\n  ""supporting_facts"": []\n}\n```', 'Since there is no context provided, I will inform you that I don\'t have enough information to answer the question.\n\n\n{\n""answer"": ""No information available"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will inform you that I don\'t have enough information to answer your question.\n\n\n{\n  ""answer"": ""I don\'t have enough information to answer this question."",\n  ""supporting_facts"": []\n}']}",Vaisakhi List,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5ae70ed7554299572ea546a1,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","{'prediction': {'answer': 'Charlie Murphy', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided about Victor Varnada, Twisted Fortune, or Eddie Murphy\'s brother, I will answer based on general knowledge.\n\n{\n""answer"": ""Charlie Murphy"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge.\n\n\n{\n  ""answer"": ""Charlie Murphy"",\n  ""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge.\n\n\n{\n  ""answer"": ""Charlie Murphy"",\n  ""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on general knowledge. \n\n```\n{\n  ""answer"": ""Charlie Murphy"",\n  ""supporting_facts"": []\n}\n```']}",Charlie Murphy,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
5a74a8fa55429929fddd8497,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","{'prediction': {'answer': 'The context does not provide enough information to answer this question.', 'supporting_facts': []}, 'raw_responses': ['Since there is no context provided, I will answer based on the assumption that the question itself contains some relevant information.\n\n\n{\n""answer"": ""The context does not provide enough information to answer this question."",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on the assumption that the question itself is the only information available.\n\n\n{\n""answer"": ""No answer available"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on the assumption that the question is the context.\n\n\n{\n""answer"": ""No answer available"",\n""supporting_facts"": []\n}', 'Since there is no context provided, I will answer based on the assumption that there is no information available.\n\n\n{\n""answer"": ""No answer available"",\n""supporting_facts"": []\n}']}",Dudman,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
