item_id,question,prediction,ground_truth,metrics
695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,"{'answer': 'China', 'supporting_facts': ['Ning Hao (born 9 September 1977) is a Chinese film director.', 'Breakup Buddies is a 2014 Chinese romantic comedy and road film, directed by Ning Hao.']}",Taiyuan,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,"{'answer': 'Yes', 'supporting_facts': ['Jean-Martin de Prades( c.1720–1782) was a French Catholic theologian.', 'Marcel Henry( born 30 October 1926) is a politician from Mayotte and a former French senator( 1977- 2004).']}",yes,"{'answer_em': 1.0, 'answer_f1': 1.0, 'answer_precision': 1.0, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 1.0}"
dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,"{'answer': 'Del Norte, Colorado', 'supporting_facts': ['J. Searle Dawley (May 13, 1877 – March 30, 1949) was an American producer, director and screenwriter.', 'He was born in Del Norte, Colorado, and died in Hollywood, California.', 'Silks and Satins is a 1916 American silent film produced by the Famous Players Film Company and distributed by Paramount Pictures. ... and was directed by J. Searle Dawley.']}",Colorado,"{'answer_em': 0.0, 'answer_f1': 0.5, 'answer_precision': 0.3333333333333333, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.5}"
05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,{'answer': 'Error: Failed to parse final JSON.'},no,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,{'answer': 'Error: Failed to parse final JSON.'},Mount Olive,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,{'answer': 'Error: Failed to parse final JSON.'},Polish,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?",{'answer': 'Error: Failed to parse final JSON.'},Girls In White,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","{'answer': 'Alexander Montgomerie, 6th Earl of Eglinton', 'supporting_facts': ['Hugh Montgomerie, 7th Earl of Eglinton (1613–1669), was the son of Alexander Montgomerie, 6th Earl of Eglinton and Anne Livingstone.']}","Robert Seton, 1st Earl of Winton","{'answer_em': 0.0, 'answer_f1': 0.3333333333333333, 'answer_precision': 0.3333333333333333, 'answer_recall': 0.3333333333333333, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.3333333333333333}"
84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,{'answer': 'Error: Failed to parse final JSON.'},American,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?",{'answer': 'Error: Failed to parse final JSON.'},12 June 1516,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
c0007a7a0bd911eba7f7acde48001122,Which award the director of film Pataakha received?,"{'answer': 'Seven National Film Awards in four categories', 'supporting_facts': ['Vishal Bhardwaj (born 4 August 1965) is an Indian film director, screenwriter, producer, music composer and playback singer.', 'He is known for his work in Hindi cinema, and is the recipient of seven National Film Awards in four categories.', 'Pataakha  is a 2018 Indian Hindi comedy-drama film directed by Vishal Bhardwaj about two sisters who share a difficult relationship with each other.']}",National Film Award for Best Music Direction,"{'answer_em': 0.0, 'answer_f1': 0.2857142857142857, 'answer_precision': 0.2857142857142857, 'answer_recall': 0.2857142857142857, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.2857142857142857}"
90934fd908dc11ebbd9cac1f6bf848b6,"Which film whose director is younger, Kiladigalu or He'S My Girl?",{'answer': 'Error: Failed to parse final JSON.'},Kiladigalu,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
8d18786e086a11ebbd5fac1f6bf848b6,"Which film whose director is younger, Dagudu Moothalu or Port Of Seven Seas?",{'answer': 'Error: Failed to parse final JSON.'},Dagudu Moothalu,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
e28d440408ca11ebbd92ac1f6bf848b6,"Which film whose director was born first, 11 Harrowhouse or A Little Sister Of Everybody?",{'answer': 'Error: Failed to parse final JSON.'},A Little Sister Of Everybody,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
e1ae74be0bda11eba7f7acde48001122,Where did the performer of song Girlfriend (Alicia Keys Song) study?,"{'answer': 'Not specified in the context', 'supporting_facts': ['Alicia Augello Cook Dean (born January 25, 1981), known professionally as Alicia Keys, is an American musician, singer, and songwriter. A classically-trained pianist, Keys was composing songs by age 12 and was signed at 15 years old by Columbia Records.', 'Girlfriend is a song by American singer and songwriter Alicia Keys.', 'Alicia Keys was a classically-trained pianist']}",Columbia,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
a5e94ab0086711ebbd5eac1f6bf848b6,"Which film has the director died later, La Muerte En El Desfiladero or O, Brazen Age?",{'answer': 'Error: Failed to parse final JSON.'},La Muerte En El Desfiladero,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
9509d38c0bdb11eba7f7acde48001122,When is the creator of Holland'S Next Top Model 's birthday?,{'answer': 'Error: Failed to parse final JSON.'},"December 4, 1973","{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
cecadcce0bdb11eba7f7acde48001122,Where was the performer of song Suicide Social born?,"{'answer': 'Alençon, Orne', 'supporting_facts': ['Aurélien Cotentin (born 1 August 1982 in Alençon, Orne), better known by his stage name Orelsan, sometimes stylized as OrelSan , is a French rapper, songwriter, record producer, actor and film director.', 'Suicide social is a song by French rapper Orelsan and produced by Skread.']}",Alençon,"{'answer_em': 0.0, 'answer_f1': 0.6666666666666666, 'answer_precision': 0.5, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.6666666666666666}"
