item_id,question,prediction,ground_truth,metrics
2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,"{'answer': 'Not specified in the context', 'supporting_facts': ['Dennis Quaid as Ethan Montgomery (adult) KJ Apa as teenage Ethan Montgomery Bryce Gheisar as eight - year old Ethan Montgomery', ""KJ Apa (born 17 June 1997) is a New Zealand actor. He is known for playing Kane Jenkins in the New Zealand prime - time soap opera Shortland Street. In 2016, he was cast as Archie Andrews in Riverdale after a four - month worldwide talent search. In 2015, he was cast as teenage Ethan Montgomery in A Dog's Purpose, released in 2017.""]}",Meg Ryan,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,"{'answer': 'University of British Columbia', 'supporting_facts': ['Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper ""The Ubyssey"".']}",University of British Columbia,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,"{'answer': '1940s (implied, but not explicitly stated as November)', 'supporting_facts': ['By October 21, the provincial capital of Guangzhou was under Japanese control.', 'By the end of November, the entire province was under Japanese control.', 'Century Lotus Stadium is a multi-purpose stadium in Foshan, China.']}",November 5,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"{'answer': '15,900', 'supporting_facts': ['In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock.', 'It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).']}","15,900","{'answer_f1': 0.0, 'support_f1': 0.0}"
3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?","{'answer': 'Classical Latin', 'supporting_facts': ['Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death.', ""The name Sylvester is a name derived from the Latin adjective silvestris meaning ``wooded ''or`` wild'', which derives from the noun silva meaning ``woodland ''. Classical Latin spells this with i."", 'By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.']}",Medieval Latin,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,"{'answer': 'The Curonians who remained behind were subsequently expelled by the Soviet Union, and many immigrated to West Germany in 1958.', 'supporting_facts': ['A similar fate befell the Curonians who lived in the area around the Curonian Lagoon.', 'Curonians that remained behind were subsequently expelled by the Soviet Union.', 'Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live.', 'Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.']}",expelled by the Soviet Union,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,"{'answer': 'James I', 'supporting_facts': ['Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk.', ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba's Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English.""]}",King James I of England,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,"{'answer': 'No information', 'supporting_facts': []}",Clio Goldsmith,"{'answer_f1': 0.0, 'support_f1': 0.0}"
2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"{'answer': 'nearly 25,000', 'supporting_facts': ['Edith Humphrey carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner.', 'The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.']}","nearly 25,000","{'answer_f1': 0.0, 'support_f1': 0.0}"
4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?","{'answer': 'Sebastian Cabot', 'supporting_facts': ['John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century.', 'Sebastian Cabot (Italian and , ; , ""Gaboto"" or ""Cabot""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic.', 'He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea.', 'Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.']}",Sebastian Cabot,"{'answer_f1': 0.0, 'support_f1': 0.0}"
