item_id,question,prediction,ground_truth,metrics
695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,"{'answer': '```json\n{\n  ""answer"": ""China"",\n  ""supporting_facts"": [\n    ""Ning Hao (born 9 September 1977) is a Chinese film director."",\n    ""Breakup Buddies is a 2014 Chinese romantic comedy and road film, directed by Ning Hao.""\n  ]\n}\n```'}",Taiyuan,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,"{'answer': '```json\n{\n  ""answer"": ""Yes"",\n  ""supporting_facts"": [\n    ""Jean-Martin de Prades( c.1720–1782) was a French Catholic theologian."",\n    ""Marcel Henry( born 30 October 1926) is a politician from Mayotte and a former French senator( 1977- 2004).""\n  ]\n}\n```'}",yes,"{'answer_em': 0.0, 'answer_f1': 0.0689655172413793, 'answer_precision': 0.03571428571428571, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,"{'answer': '```json\n{\n  ""answer"": ""Del Norte, Colorado"",\n  ""supporting_facts"": [\n    ""J. Searle Dawley (May 13, 1877 – March 30, 1949) was an American producer, director and screenwriter."",\n    ""He was born in Del Norte, Colorado, and died in Hollywood, California."",\n    ""Silks and Satins is a 1916 American silent film ... and was directed by J. Searle Dawley.""\n  ]\n}\n```'}",Colorado,"{'answer_em': 0.0, 'answer_f1': 0.039999999999999994, 'answer_precision': 0.02040816326530612, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,"{'answer': '```json\n{\n  ""answer"": ""No"",\n  ""supporting_facts"": [\n    ""Just Getting Started is a 2017 American action comedy film directed and written by Ron Shelton, his first feature film since\\"" Hollywood Homicide\\""( 2003)."",\n    ""The Dove\'s Lost Necklace is a 1994 French/ Tunisian drama film directed by Nacer Khemir.""\n  ]\n}\n```'}",no,"{'answer_em': 0.0, 'answer_f1': 0.04878048780487806, 'answer_precision': 0.025, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,"{'answer': '```json\n{\n  ""answer"": ""Mount Olive, Butler County, Alabama"",\n  ""supporting_facts"": [\n    ""Hiram \\""Hank\\"" Williams (September 17, 1923 – January 1, 1953) was an American singer-songwriter and musician. Regarded as one of the most significant and influential American singers and songwriters of the 20th century, Williams recorded 35 singles (five released posthumously) that reached the Top 10 of the \\""Billboard\\"" Country & Western Best Sellers chart, including 11 that ranked number one (three posthumously). Born in Mount Olive, Butler County, Alabama, Williams relocated to Georgiana with his family, where he met Rufus Payne, an African American blues musician, who gave him guitar lessons in exchange for meals or money."",\n    ""(Last Night) I Heard You Crying in Your Sleep is a song written and recorded by Hank Williams on MGM Records.""\n  ]\n}\n```'}",Mount Olive,"{'answer_em': 0.0, 'answer_f1': 0.03333333333333333, 'answer_precision': 0.01694915254237288, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,"{'answer': '```json\n{\n  ""answer"": ""Poland or other Slavic country"",\n  ""supporting_facts"": [\n    ""Gunhilda of Wenden was a semi-legendary Polish or other Slavic princess and Danish Viking age queen consort, the supposed spouse of 10th-century King Sweyn I of Denmark (986–1014)."",\n    ""Harald II of Denmark (c. 996–998 − 1018) was King of Denmark from 1014 until his death in 1018. He was the youngest son of Sweyn Forkbeard and Gunhild of Wenden, and was regent while his father was fighting Ethelred the Unready in England.""\n  ]\n}\n```'}",Polish,"{'answer_em': 0.0, 'answer_f1': 0.025974025974025976, 'answer_precision': 0.013157894736842105, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?","{'answer': '```json\n{\n  ""answer"": ""Three Violent People"",\n  ""supporting_facts"": [\n    ""Rudolph Maté( 21 January 1898 – 27 October 1964), born Rudolf Mayer, was a Polish- Hungarian- American cinematographer, film director and film producer who worked as cameraman and cinematographer in Hungary, Austria, Germany, France and the United Kingdom, before moving to Hollywood in the mid 1930s."",\n    ""Victor Arthur Eduard Janson( 25 September 1884 – 29 June 1960) was a Latvian- born German stage and film actor and film director."",\n    ""Three Violent People is a 1957 American Western film directed by Rudolph Maté and starring Charlton Heston, Anne Baxter, Gilbert Roland, Tom Tryon, Forrest Tucker, Bruce Bennett, and Elaine Stritch."",\n    ""Girls in White is a 1936 German musical comedy film directed by Victor Janson and starring Maria Cebotari, Iván Petrovich and Hilde von Stolz.""\n  ]\n}\n```'}",Girls In White,"{'answer_em': 0.0, 'answer_f1': 0.047619047619047616, 'answer_precision': 0.024390243902439025, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","{'answer': '```json\n{\n  ""answer"": ""Alexander Montgomerie, 6th Earl of Eglinton"",\n  ""supporting_facts"": [\n    ""Hugh Montgomerie, 7th Earl of Eglinton (1613–1669), was the son of Alexander Montgomerie, 6th Earl of Eglinton and Anne Livingstone.""\n  ]\n}\n```'}","Robert Seton, 1st Earl of Winton","{'answer_em': 0.0, 'answer_f1': 0.11764705882352941, 'answer_precision': 0.07142857142857142, 'answer_recall': 0.3333333333333333, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,"{'answer': '```json\n{\n  ""answer"": ""The birthplace of the director of Little Alvin And The Mini-Munks is not specified in the context."",\n  ""supporting_facts"": [\n    ""Little Alvin and the Mini-Munks is a 2003 direct-to-video film based on the Chipmunks\' 1983-1990 television series, \\""Alvin and the Chipmunks\\""."",\n    ""It was written and created by Janice Karman, produced by Ross Bagdasarian, and directed by Jerry Rees."",\n    ""Jerry W. Rees (born November 15, 1956) is an American film director and animator, best known for the Emmy-nominated animated film \\""The Brave Little Toaster\\"" (1987) and creating many of the visual effects for the cult classic \\""Tron\\"" (1982).""\n  ]\n}\n```'}",American,"{'answer_em': 0.0, 'answer_f1': 0.023529411764705882, 'answer_precision': 0.011904761904761904, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?","{'answer': '```json\n{\n  ""answer"": ""12 June 1516"",\n  ""supporting_facts"": [\n    ""Joachim I, Prince of Anhalt-Dessau (Dessau, 7 August 1509 – Dessau, 6 December 1561), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau. After 1544 he served as the first ruler of the re-created Anhalt-Dessau. He was the fourth (but third surviving) son of Ernest I, Prince of Anhalt-Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg-Oels and granddaughter of George of Poděbrady, King of Bohemia."",\n    ""Ernest I, Prince of Anhalt-Dessau (died Dessau, 12 June 1516), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau.""\n  ]\n}\n```'}",12 June 1516,"{'answer_em': 0.0, 'answer_f1': 0.05882352941176471, 'answer_precision': 0.030303030303030304, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0}"
